COD,REF,Regiao,Estado,Area_Estudo,Referencia,Longitude,Latitude,n_amostral,Especie,Nome comum,ID,Ano_Coleta,Forma_Coleta,Sexo,Maturidade,"Estagio
Desenvolvimento",Idade,Idade_Mean,Idade_Median,Idade_SD,Idade_Min,Idade_Max,Comp_cm,Comp_Mean,Comp_Median,Comp_SD,Comp_Min,Comp_Max,Peso_Kg,Tecido,Lipidios_%,Lipidios_Mean,Lipidios_Median,Lipidios_SD,Lipidios_Min,Lipidios_Max,∑PCBs_ng/g,∑PCBs_Mean,∑PCBs_Median,∑PCBs_SD,∑PCBs_Min,∑PCBs_Max,∑DDTs_ng/g,∑DDTs_Mean,∑DDTs_Median,∑DDTs_SD,∑DDTs_Min,∑DDTs_Max,Drins_ng/g,Drins_Mean,Drins_Median,Drins_SD,Drins_Min,Drins_Max,CHLs_ng/g,CHLs_Mean,CHLs_Median,CHLs_SD,CHLs_Min,CHLs_Max,Heptacloro_ng/g,Heptacloro_Mean,Heptacloro_Median,Heptacloro_SD,Heptacloro_Min,Heptacloro_Max,∑HCH_ng/g,∑HCH_Mean,∑HCH_Median,∑HCH_SD,∑HCH_Min,∑HCH_Max,HCB_ng/g,HCB_Mean,HCB_Median,HCB_SD,HCB_Min.,HCB_Max,Mirex_ng/g,Mirex_Mean,Mirex_Median,Mirex_SD,Mirex_Min,Mirex_Max,Obs
A11,POP02,SE,SP,Estuário de Cananéia- SP,Yogui et al. 2003,47.929726W,25.053629S,1,Sotalia guianensis,Guiana Dolphin,PA-143,2001,Encalhe/Flutuando na água,F,NA,Adulto,ND,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,Blubber,56.8,NA,NA,NA,NA,NA,9220,NA,NA,NA,NA,NA,9900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis
A12,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,4,Sotalia guianensis,Guiana Dolphin,NA,1997/99,Captura incidental ,F,I,NA,NA,1,NA,NA,0,3,NA,133,NA,NA,96,165,NA,Blubber,NA,81,NA,NA,77,84,NA,12000,NA,NA,6000,20000,NA,14000,NA,NA,1400,25000,NA,42,NA,NA,0.59,70,NA,180,NA,NA,6.3,310,NA,39,NA,NA,14,88,NA,12,NA,NA,<1,14,NA,25,NA,NA,1.60,57,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
A13,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,5,Sotalia guianensis,Guiana Dolphin,NA,1997/99,Captura incidental ,F,M,NA,NA,16,NA,NA,11,27,NA,181,NA,NA,173,186,NA,Blubber,NA,55,NA,NA,5.4,72,NA,11000,NA,NA,1300,49000,NA,7600,NA,NA,1000,29000,NA,8.80,NA,NA,5.10,13,NA,150,NA,NA,15,680,NA,2.80,NA,NA,1.60,4.20,NA,2.30,NA,NA,<1,2.50,NA,19,NA,NA,2.10,79,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
A14,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,9,Sotalia guianensis,Guiana Dolphin,NA,1997/99,Captura incidental ,M,I,NA,NA,1,NA,NA,0,5,NA,141,NA,NA,89,160,NA,Blubber,NA,76,NA,NA,65,82,NA,9700,NA,NA,2800,22000,NA,22000,NA,NA,3900,64000,NA,120,NA,NA,18,340,NA,150,NA,NA,50,500,NA,56,NA,NA,17,140,NA,15,NA,NA,4.50,61,NA,16,NA,NA,4.50,28,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
A15,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,8,Sotalia guianensis,Guiana Dolphin,NA,1997/99,Captura incidental ,M,M,NA,NA,14,NA,NA,7,29,NA,187,NA,NA,180,198,NA,Blubber,NA,72,NA,NA,58,79,NA,34000,NA,NA,10000,79000,NA,52000,NA,NA,12000,150000,NA,170,NA,NA,93,340,NA,420,NA,NA,150,1100,NA,98,NA,NA,38,180,NA,19,NA,NA,7.70,38,NA,68,NA,NA,6.90,400,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
A16,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,8,Pontoporia blainvillei,Franciscana Dolphin,NA,1997/99,Captura incidental ,F,I,NA,NA,2,NA,NA,0,4,NA,100,NA,NA,75,114,NA,Blubber,NA,87,NA,NA,79,95,NA,2200,NA,NA,970,5000,NA,2800,NA,NA,670,3200,NA,18,NA,NA,0.58,43,NA,38,NA,NA,17,74,NA,6.20,NA,NA,2.40,12,NA,2.60,NA,NA,1.50,4.60,NA,10,NA,NA,5.60,18,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
A17,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,2,Pontoporia blainvillei,Franciscana Dolphin,NA,1997/99,Captura incidental ,F,M,NA,NA,12,NA,NA,8,16,NA,126,NA,NA,124,127,NA,Blubber,NA,79,NA,NA,72,85,NA,2300,NA,NA,1500,3000,NA,1200,NA,NA,950,1400,NA,21,NA,NA,15,26,NA,39,NA,NA,31,47,NA,4.40,NA,NA,4.00,4.70,NA,4.60,NA,NA,2.30,6.80,NA,9.20,NA,NA,6.40,12,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
A18,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,11,Pontoporia blainvillei,Franciscana Dolphin,NA,1997/99,Captura incidental ,M,I,NA,NA,2,NA,NA,0,4,NA,99,NA,NA,66,112,NA,Blubber,NA,87,NA,NA,82,99,NA,2100,NA,NA,320,4900,NA,1700,NA,NA,580,3600,NA,28,NA,NA,11,61,NA,40,NA,NA,4.7,94,NA,7,NA,NA,3.10,14,NA,2.50,NA,NA,<1,4.30,NA,11,NA,NA,1.40,21,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
A19,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,5,Pontoporia blainvillei,Franciscana Dolphin,NA,1997/99,Captura incidental ,M,M,NA,NA,6,NA,NA,5,7,NA,113,NA,NA,110,119,NA,Blubber,NA,80,NA,NA,73,86,NA,5300,NA,NA,1800,12000,NA,9900,NA,NA,1800,35000,NA,29,NA,NA,17,42,NA,64,NA,NA,38,110,NA,7.80,NA,NA,4.60,12,NA,3.80,NA,NA,3.40,5.30,NA,11,NA,NA,9.40,13,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
A20,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,1,Stenella frontalis,Atlantic spotted dolphin,NA,1997/99,Captura incidental ,M,I,NA,4,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,Blubber,19,NA,NA,NA,NA,NA,58000,NA,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,660,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
