COD,REF,Regiao,Estado,Area_Estudo,Referencia,Longitude,Latitude,n_amostral,Especie,Nome comum,ID,Ano_Coleta,Forma_Coleta,Sexo,Maturidade,"Estagio
Desenvolvimento",Idade,Idade_Mean,Idade_Median,Idade_SD,Idade_Min,Idade_Max,Comp_cm,Comp_Mean,Comp_Median,Comp_SD,Comp_Min,Comp_Max,Peso_Kg,Tecido,Lipidios_%,Lipidios_Mean,Lipidios_Median,Lipidios_SD,Lipidios_Min,Lipidios_Max,∑PCBs_ng/g,∑PCBs_Mean,∑PCBs_Median,∑PCBs_SD,∑PCBs_Min,∑PCBs_Max,∑DDTs_ng/g,∑DDTs_Mean,∑DDTs_Median,∑DDTs_SD,∑DDTs_Min,∑DDTs_Max,Drins_ng/g,Drins_Mean,Drins_Median,Drins_SD,Drins_Min,Drins_Max,CHLs_ng/g,CHLs_Mean,CHLs_Median,CHLs_SD,CHLs_Min,CHLs_Max,Heptacloro_ng/g,Heptacloro_Mean,Heptacloro_Median,Heptacloro_SD,Heptacloro_Min,Heptacloro_Max,∑HCH_ng/g,∑HCH_Mean,∑HCH_Median,∑HCH_SD,∑HCH_Min,∑HCH_Max,HCB_ng/g,HCB_Mean,HCB_Median,HCB_SD,HCB_Min.,HCB_Max,Mirex_ng/g,Mirex_Mean,Mirex_Median,Mirex_SD,Mirex_Min,Mirex_Max,Obs
A37,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,8,Arctocephalus australis,South American fur seal,NA,1999,Encalhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bladder,NA,2.9,NA,1.2,NA,NA,NA,500,NA,970,30,3000,NA,50,NA,110,0.7,150,NA,NA,NA,NA,NA,NA,NA,4,NA,8.9,"<0,04",13,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.5,"<0,04",0.7,NA,0.3,NA,0.4,0.03,1.10,NA,NA,NA,NA,NA,NA,
A38,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,8,Arctocephalus australis,South American fur seal,NA,1999,Encalhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heart,NA,7.6,NA,1.7,NA,NA,NA,1300,NA,2100,1,6400,NA,100,NA,170,0.9,250,NA,NA,NA,NA,NA,NA,NA,13,NA,42,"<0,04",60,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.7,"<0,04",1.10,NA,2.20,NA,4,"<0,01",11,NA,NA,NA,NA,NA,NA,
A39,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 97,1994,Captura incidental,F,NA,NA,6,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,3113,NA,NA,NA,NA,NA,769,NA,NA,NA,NA,NA,54.8,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,
A40,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 108,1995,Captura incidental,F,NA,NA,11,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,3240,NA,NA,NA,NA,NA,1451,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,NA,NA,NA,NA,NA,45.2,NA,NA,NA,NA,NA,
A41,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 118,1996,Captura incidental,M,NA,NA,3,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,4483,NA,NA,NA,NA,NA,1798,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,NA,NA,NA,NA,NA,83.8,NA,NA,NA,NA,NA,
A42,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 120,1996,Captura incidental,M,NA,NA,ND,NA,NA,NA,NA,NA,131.2,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,3506,NA,NA,NA,NA,NA,905,NA,NA,NA,NA,NA,57.2,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,NA,NA,NA,NA,NA,58.4,NA,NA,NA,NA,NA,
A43,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 126,1997,Captura incidental,F,NA,NA,6,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,1135,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,52.8,NA,NA,NA,NA,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52,NA,NA,NA,NA,NA,42.4,NA,NA,NA,NA,NA,
A44,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 127,1997,Captura incidental,F,NA,NA,4,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,6061,NA,NA,NA,NA,NA,2845,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,60.1,NA,NA,NA,NA,NA,
A45,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 129,1997,Captura incidental,F,NA,NA,6,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,4259,NA,NA,NA,NA,NA,737,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,
A46,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 198,1999,Captura incidental,M,NA,NA,2,NA,NA,NA,NA,NA,131.5,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,3470,NA,NA,NA,NA,NA,876,NA,NA,NA,NA,NA,66.7,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3,NA,NA,NA,NA,NA,44.7,NA,NA,NA,NA,NA,
A47,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 208,1999,Captura incidental,M,NA,NA,3,NA,NA,NA,NA,NA,132.5,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,7331,NA,NA,NA,NA,NA,1348,NA,NA,NA,NA,NA,81.9,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,NA,NA,NA,NA,NA,110.6,NA,NA,NA,NA,NA,
A48,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 230,2000,Captura incidental,M,NA,NA,6,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,8090,NA,NA,NA,NA,NA,2125,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,
A49,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 242,2000,Captura incidental,M,NA,NA,4,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,5987,NA,NA,NA,NA,NA,1431,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,
A50,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 248,2001,Captura incidental,M,NA,NA,4,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,3618,NA,NA,NA,NA,NA,749,NA,NA,NA,NA,NA,ND ,NA,NA,NA,NA,NA,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,NA,NA,NA,NA,NA,84.5,NA,NA,NA,NA,NA,
A51,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 251,2001,Captura incidental,M,NA,NA,3,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,2442,NA,NA,NA,NA,NA,459,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA,
A52,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 254,2001,Captura incidental,M,NA,NA,2,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,2138,NA,NA,NA,NA,NA,438,NA,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,22.4,NA,NA,NA,NA,NA,
A53,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 256,2001,Captura incidental,M,NA,NA,3,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,3121,NA,NA,NA,NA,NA,615,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,54.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,42.3,NA,NA,NA,NA,NA,
A54,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 260,2002,Captura incidental,M,NA,NA,8,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,10555,NA,NA,NA,NA,NA,3447,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,NA,NA,NA,NA,NA,80.6,NA,NA,NA,NA,NA,
A55,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 275,2002,Captura incidental,M,NA,NA,2,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,2550,NA,NA,NA,NA,NA,516,NA,NA,NA,NA,NA,45.7,NA,NA,NA,NA,NA,48.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,41.4,NA,NA,NA,NA,NA,
A56,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 281,2002,Captura incidental,M,NA,NA,3,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,4138,NA,NA,NA,NA,NA,855,NA,NA,NA,NA,NA,63.5,NA,NA,NA,NA,NA,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,NA,NA,NA,NA,NA,64.2,NA,NA,NA,NA,NA,
A57,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 290,2002,Captura incidental,M,NA,NA,2,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,1937,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,38.7,NA,NA,NA,NA,NA,
A58,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 295,2003,Captura incidental,M,NA,NA,3,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,4051,NA,NA,NA,NA,NA,763,NA,NA,NA,NA,NA,48.8,NA,NA,NA,NA,NA,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,
A59,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 304,2003,Captura incidental,M,NA,NA,6,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,7138,NA,NA,NA,NA,NA,949,NA,NA,NA,NA,NA,61.3,NA,NA,NA,NA,NA,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,71.9,NA,NA,NA,NA,NA,
A60,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 309,2003,Captura incidental,M,NA,NA,3,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,6964,NA,NA,NA,NA,NA,1196,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,90.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,67.9,NA,NA,NA,NA,NA,
A61,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 315,2003,Captura incidental,M,NA,NA,ND,NA,NA,NA,NA,NA,135.4,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,3628,NA,NA,NA,NA,NA,562,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,33.8,NA,NA,NA,NA,NA,
A62,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 320,2003,Captura incidental,M,NA,NA,8,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,8975,NA,NA,NA,NA,NA,1583,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,
A63,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 338,2004,Captura incidental,M,NA,NA,4,NA,NA,NA,NA,NA,153.5,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,1271,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83,NA,NA,NA,NA,NA,55.5,NA,NA,NA,NA,NA,
A64,POP05,S,RS,Rio Grande do Sul,Leonel et al. 2010,52.17212W,32.22315S,1,Pontoporia blainvillei,Franciscana Dolphin,CA 359,2004,Captura incidental,F,NA,NA,2,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,3280,NA,NA,NA,NA,NA,462,NA,NA,NA,NA,NA,45.5,NA,NA,NA,NA,NA,58.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,NA,NA,NA,NA,NA,42.3,NA,NA,NA,NA,NA,
A65,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#1,2004,Captura incidental ,F,I,NA,1,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,Blubber,38,NA,NA,NA,NA,NA,28317,NA,NA,NA,NA,NA,3774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<4,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A66,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#2,2004,Captura incidental ,F,I,NA,1,NA,NA,NA,NA,NA,142.5,NA,NA,NA,NA,NA,NA,Blubber,48,NA,NA,NA,NA,NA,60096,NA,NA,NA,NA,NA,8057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A67,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#3,2003,Captura incidental ,ND,I,NA,3,NA,NA,NA,NA,NA,150 +,NA,NA,NA,NA,NA,NA,Blubber,46,NA,NA,NA,NA,NA,15661,NA,NA,NA,NA,NA,2367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A68,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#4,2003,Captura incidental ,M,M,NA,3,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,Blubber,65,NA,NA,NA,NA,NA,15590,NA,NA,NA,NA,NA,2314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A69,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#5,2004,Captura incidental ,M,M,NA,9,NA,NA,NA,NA,NA,184.5,NA,NA,NA,NA,NA,NA,Blubber,37,NA,NA,NA,NA,NA,28992,NA,NA,NA,NA,NA,8588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A70,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#6,2005,Captura incidental ,F,M,NA,13,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,NA,Blubber,16,NA,NA,NA,NA,NA,17288,NA,NA,NA,NA,NA,6137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A71,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#7,2004,Captura incidental ,M,M,NA,13,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,Blubber,13,NA,NA,NA,NA,NA,99175,NA,NA,NA,NA,NA,21504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A72,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#8,2000,Captura incidental ,M,M,NA,14,NA,NA,NA,NA,NA,191,NA,NA,NA,NA,NA,NA,Blubber,11,NA,NA,NA,NA,NA,43303,NA,NA,NA,NA,NA,14027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A73,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#9,2002,Captura incidental ,F,I,NA,ND,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,Blubber,22,NA,NA,NA,NA,NA,20878,NA,NA,NA,NA,NA,2324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A74,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#10,2005,Captura incidental ,M,M,NA,ND,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,Blubber,40,NA,NA,NA,NA,NA,23842,NA,NA,NA,NA,NA,4417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A75,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#11,2003,Captura incidental ,M,M,NA,ND,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,Blubber,9,NA,NA,NA,NA,NA,57910,NA,NA,NA,NA,NA,19851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A76,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,SgBG#12,2003,Captura incidental ,M,M,NA,ND,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,Blubber,35,NA,NA,NA,NA,NA,6663,NA,NA,NA,NA,NA,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A77,POP06,SE,RJ,Baía da Guanabara- RJ,Lailson-Brito et al. 2010,43.13792W,22.78052S,12,Sotalia guianensis,Guiana Dolphin,NA,2000/05,Captura incidental ,NA,NA,NA,NA,7.1,5.1,5.7,1,14,NA,165,170,25,122,191,NA,Blubber,NA,32,36,17,9,65,NA,34810,26080,26309,6663,99175,NA,7953,5277,6909,2075,21504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,27,37,"<4,4",109,NA,NA,NA,NA,NA,NA,
A78,POP06,SE,RJ,Baía de Sepetiba- Ilha Grande- RJ,Lailson-Brito et al. 2010,43.992016W,23.002391S,1,Sotalia guianensis,Guiana Dolphin,SgSIG#1,2005,Captura incidental ,M,M,NA,12,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,Blubber,68,NA,NA,NA,NA,NA,2706,NA,NA,NA,NA,NA,1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A79,POP06,SE,RJ,Baía de Sepetiba- Ilha Grande- RJ,Lailson-Brito et al. 2010,43.992016W,23.002391S,1,Sotalia guianensis,Guiana Dolphin,SgSIG#2,2003,Captura incidental ,M,M,NA,13,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,NA,Blubber,37,NA,NA,NA,NA,NA,7086,NA,NA,NA,NA,NA,2246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
